_id,Year/Année,Parent who gave birth/Parent qui a donné naissance,Age of Father or Parent / Âge du père ou parent,Births/Naissances
389,2013,17,30-34,2
390,2013,17,35-39,2
391,2013,17,40-44,2
392,2013,17,45-49,0
393,2013,17,50-54,1
394,2013,17,55-59,0
395,2013,17,60+,0
396,2013,17,N.S./N.P.,151
397,2013,18,<20,303
398,2013,18,20-24,377
399,2013,18,25-29,71
400,2013,18,30-34,15
401,2013,18,35-39,8
402,2013,18,40-44,0
403,2013,18,45-49,3
404,2013,18,50-54,0
405,2013,18,55-59,0
406,2013,18,60+,0
407,2013,18,N.S./N.P.,234
408,2013,19,<20,255
409,2013,19,20-24,689
410,2013,19,25-29,181
411,2013,19,30-34,52
412,2013,19,35-39,21
413,2013,19,40-44,4
414,2013,19,45-49,3
415,2013,19,50-54,0
416,2013,19,55-59,1
417,2013,19,60+,0
418,2013,19,N.S./N.P.,336
419,2013,20,<20,136
420,2013,20,20-24,1097
421,2013,20,25-29,345
422,2013,20,30-34,125
423,2013,20,35-39,26
424,2013,20,40-44,7
425,2013,20,45-49,8
426,2013,20,50-54,1
427,2013,20,55-59,0
428,2013,20,60+,0
429,2013,20,N.S./N.P.,348
430,2013,21,<20,69
431,2013,21,20-24,1179
432,2013,21,25-29,657
433,2013,21,30-34,188
434,2013,21,35-39,54
435,2013,21,40-44,13
436,2013,21,45-49,4
437,2013,21,50-54,2
438,2013,21,55-59,0
439,2013,21,60+,0
440,2013,21,N.S./N.P.,353
441,2013,22,<20,24
442,2013,22,20-24,1225
443,2013,22,25-29,1031
444,2013,22,30-34,360
445,2013,22,35-39,94
446,2013,22,40-44,25
447,2013,22,45-49,9
448,2013,22,50-54,1
449,2013,22,55-59,1
450,2013,22,60+,1
451,2013,22,N.S./N.P.,397
452,2013,23,<20,17
453,2013,23,20-24,1061
454,2013,23,25-29,1534
455,2013,23,30-34,564
456,2013,23,35-39,148
457,2013,23,40-44,44
458,2013,23,45-49,17
459,2013,23,50-54,6
460,2013,23,55-59,4
461,2013,23,60+,0
462,2013,23,N.S./N.P.,350
463,2013,24,<20,13
464,2013,24,20-24,827
465,2013,24,25-29,2073
466,2013,24,30-34,806
467,2013,24,35-39,215
468,2013,24,40-44,69
469,2013,24,45-49,20
470,2013,24,50-54,9
471,2013,24,55-59,1
472,2013,24,60+,2
473,2013,24,N.S./N.P.,362
474,2013,25,<20,7
475,2013,25,20-24,479
476,2013,25,25-29,2883
477,2013,25,30-34,1192
478,2013,25,35-39,355
479,2013,25,40-44,113
480,2013,25,45-49,26
481,2013,25,50-54,5
482,2013,25,55-59,2
483,2013,25,60+,0
484,2013,25,N.S./N.P.,368
485,2013,26,<20,4
486,2013,26,20-24,259
487,2013,26,25-29,3378
488,2013,26,30-34,1834
489,2013,26,35-39,545
490,2013,26,40-44,143
491,2013,26,45-49,46
492,2013,26,50-54,11
493,2013,26,55-59,5
494,2013,26,60+,1
495,2013,26,N.S./N.P.,343
496,2013,27,<20,5
497,2013,27,20-24,208
498,2013,27,25-29,3632
499,2013,27,30-34,2648
500,2013,27,35-39,754
501,2013,27,40-44,178
502,2013,27,45-49,52
503,2013,27,50-54,19
504,2013,27,55-59,5
505,2013,27,60+,3
506,2013,27,N.S./N.P.,365
507,2013,28,<20,1
508,2013,28,20-24,140
509,2013,28,25-29,3366
510,2013,28,30-34,3768
511,2013,28,35-39,1088
512,2013,28,40-44,280
513,2013,28,45-49,88
514,2013,28,50-54,29
515,2013,28,55-59,4
